592:24,obj_ch4_PDC09_slash_Step_0_gml_84_0
592:24,obj_ch4_PDC09_slash_Step_0_gml_86_0
592:24,obj_ch4_PDC09_slash_Step_0_gml_88_0
592:25,scr_susface_slash_scr_susface_gml_1_0
592:25,scr_noeface_slash_scr_noeface_gml_1_0
592:45,obj_readable_room1_slash_Other_10_gml_3633_0
592:45,obj_readable_room1_slash_Other_10_gml_3642_0
592:45,obj_readable_room1_slash_Other_10_gml_3643_0_b
592:45,obj_readable_room1_slash_Other_10_gml_3643_0
592:45,scr_susface_slash_scr_susface_gml_1_0
592:45,obj_readable_room1_slash_Other_10_gml_3645_0
592:45,scr_noeface_slash_scr_noeface_gml_1_0
592:45,obj_readable_room1_slash_Other_10_gml_3647_0
592:45,scr_noface_slash_scr_noface_gml_1_0
592:45,obj_readable_room1_slash_Other_10_gml_3649_0
593:2,scr_text_slash_scr_text_gml_8107_0
593:2,scr_text_slash_scr_text_gml_8108_0
593:2,scr_text_slash_scr_text_gml_8112_0
593:8,obj_ch4_PDC09A_slash_Step_0_gml_64_0
593:8,obj_ch4_PDC09A_slash_Step_0_gml_66_0
593:8,obj_ch4_PDC09A_slash_Step_0_gml_73_0
593:8,obj_ch4_PDC09A_slash_Step_0_gml_75_0
593:8,obj_ch4_PDC09A_slash_Step_0_gml_76_0
593:8,obj_ch4_PDC09A_slash_Step_0_gml_77_0
593:14,scr_noeface_slash_scr_noeface_gml_1_0
593:33,obj_readable_room1_slash_Other_10_gml_3926_0
593:37,obj_readable_room1_slash_Other_10_gml_3933_0
593:40,obj_readable_room1_slash_Other_10_gml_3940_0
593:40,obj_readable_room1_slash_Other_10_gml_3945_0
593:40,scr_noeface_slash_scr_noeface_gml_1_0
593:40,obj_readable_room1_slash_Other_10_gml_3947_0
593:40,obj_readable_room1_slash_Other_10_gml_3948_0
593:47,obj_readable_room1_slash_Other_10_gml_3956_0
593:51,scr_roomname_slash_scr_roomname_gml_6_0
